IdVenta,SKU,Documento_Identidad,FechaVenta,Departamento,Provincia,Distrito,Zona_Logistica,Nombre_Sucursal,Nombre_Promo,Descripcion,Cantidad,Monto_Bruto,Monto_Descuento,Es_Evento
1,AUD-SNY-WH,45321678,2023-07-29,Lima,Lima,San Isidro,Lima,Tienda Fisica Real Plaza Arequipa,Campana Cyber Wow Mayo,Tarjeta Debito,3,2850,427.5,1
2,AUD-SNY-WH,70615243,2024-03-23,Lima,Lima,Miraflores,Lima,Tienda Fisica Mall Aventura Trujillo,Sin Promocion / Precio Regular,Tarjeta Credito,2,1900,0.0,0
3,SSD-1TB-01,70615243,2025-05-09,Ica,Ica,Parcona,Centro,Plataforma Web Nacional,Campana Back to School,Tarjeta Debito,9,2880,288.0,1
4,SSD-1TB-01,49586712,2024-11-27,Ica,Ica,Parcona,Centro,Tienda Fisica Real Plaza Arequipa,Sin Promocion / Precio Regular,Tarjeta Debito,7,2240,0.0,0
5,SSD-2TB-02,09876543,2023-07-18,Arequipa,Arequipa,Cayma,Sur,Tienda Fisica Real Plaza Arequipa,Sin Promocion / Precio Regular,Tarjeta Credito,7,4760,0.0,0
6,RAM-16G-01,73418529,2023-09-13,Ica,Ica,Parcona,Centro,Tienda Fisica Real Plaza Arequipa,Sin Promocion / Precio Regular,Plin,9,1890,0.0,0
7,GPU-RTX-40,45321678,2024-01-29,Lambayeque,Chiclayo,Pimentel,Norte,Tienda Fisica Real Plaza Arequipa,Campana Back to School,Yape,10,18500,1850.0,1
8,LAP-OFF-02,71234567,2023-07-26,Ancash,Huaraz,Independencia,Centro,Tienda Fisica CC Jockey Plaza,Descuento Black Friday,Tarjeta Credito,4,10000,2000.0,1
9,GPU-RTX-40,41253698,2024-03-05,Piura,Piura,Castilla,Norte,Tienda Fisica Real Plaza Arequipa,Campana Cyber Wow Mayo,Yape,6,11100,1665.0,1
10,AUD-SNY-WH,41253698,2024-05-16,Lima,Lima,San Martin de Porres,Lima,Plataforma Web Nacional,Campana Back to School,Tarjeta Debito,9,8550,855.0,1
11,LAP-MAC-03,49586712,2023-04-25,Cusco,Cusco,Wanchaq,Sur,Tienda Fisica Real Plaza Arequipa,Campana Back to School,Tarjeta Debito,6,30600,3060.0,1
12,SSD-1TB-01,71234567,2024-03-08,Lima,Lima,Ate,Lima,Tienda Fisica Real Plaza Arequipa,Cupon Gamer Extremo,Yape,2,640,64.0,1
13,KEY-HYP-ALL,73418529,2024-06-26,Arequipa,Arequipa,Cayma,Sur,Tienda Fisica Mall Aventura Trujillo,Cupon Gamer Extremo,Plin,3,1170,117.0,1
14,LAP-MAC-03,76543210,2025-03-28,Lima,Lima,San Martin de Porres,Lima,Tienda Fisica Real Plaza Arequipa,Campana Back to School,Plin,10,51000,5100.0,1
15,RAM-16G-01,76543210,2023-11-10,Lima,Lima,Los Olivos,Lima,Tienda Fisica Mall Aventura Trujillo,Sin Promocion / Precio Regular,Tarjeta Credito,2,420,0.0,0
16,AUD-SNY-WH,09876543,2025-02-20,Lima,Lima,Ate,Lima,Tienda Fisica Mall Aventura Trujillo,Campana Back to School,Tarjeta Credito,7,6650,665.0,1
17,KEY-HYP-ALL,49586712,2024-06-30,Lambayeque,Chiclayo,Pimentel,Norte,Tienda Fisica Real Plaza Arequipa,Campana Back to School,Tarjeta Credito,2,780,78.0,1
18,AUD-SNY-WH,73418529,2023-01-07,Lima,Lima,Miraflores,Lima,Tienda Fisica Real Plaza Arequipa,Cupon Gamer Extremo,Tarjeta Debito,8,7600,760.0,1
19,SSD-2TB-02,70615243,2025-11-05,Lima,Lima,Ate,Lima,Tienda Fisica CC Jockey Plaza,Campana Back to School,Tarjeta Credito,5,3400,340.0,1
20,KEY-HYP-ALL,76543210,2023-01-02,Lima,Lima,Los Olivos,Lima,Tienda Fisica Real Plaza Arequipa,Campana Cyber Wow Mayo,Efectivo,9,3510,526.5,1
21,KEY-HYP-ALL,73418529,2024-05-05,Piura,Piura,Castilla,Norte,Plataforma Web Nacional,Sin Promocion / Precio Regular,Yape,5,1950,0.0,0
22,LAP-GMR-01,76543210,2025-12-26,Puno,Puno,Puno,Sur,Plataforma Web Nacional,Sin Promocion / Precio Regular,Plin,2,8400,0.0,0
23,LAP-MAC-03,09876543,2025-12-16,Ancash,Huaraz,Independencia,Centro,Tienda Fisica Mall Aventura Trujillo,Campana Back to School,Tarjeta Debito,5,25500,2550.0,1
